No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,17858,22401
2,Kota Palopo,179,14,572,765
3,Kota Parepare,168,109,590,867
4,Kabupaten Bantaeng,171,3,635,809
5,Kabupaten Barru,72,10,312,394
6,Kabupaten Bone,322,22,863,1207
7,Kabupaten Bulukumba,389,54,552,995
8,Kabupaten Enrekang,321,23,211,555
9,Kabupaten Gowa,565,324,2854,3743
10,Kabupaten Jeneponto,530,38,933,1501
11,Kabupaten Kepulauan Selayar,84,7,289,380
12,Kabupaten Luwu,239,3,222,464
13,Kabupaten Luwu Timur,446,87,1929,2462
14,Kabupaten Luwu Utara,278,40,615,933
15,Kabupaten Maros,278,78,1147,1503
16,Kabupaten Pangkajene Dan Kepulauan,173,68,528,769
17,Kabupaten Pinrang,570,32,391,993
18,Kabupaten Sidenreng Rappang,119,54,530,703
19,Kabupaten Sinjai,278,23,895,1196
20,Kabupaten Soppeng,82,40,538,660
21,Kabupaten Takalar,126,33,528,687
22,Kabupaten Tana Toraja,249,13,156,418
23,Kabupaten Toraja Utara,178,6,136,320
24,Kabupaten Wajo,74,25,460,559
25,Rekreasi Duta Covid19 SulSel,8,0,574,582
26,RS Lain-lain,0,0,442,442
-,Jumlah Sulsel,9001,2547,34760,46308
