No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2744,1442,4566,8752
2,Kota Palopo,179,14,39,232
3,Kota Parepare,149,109,84,342
4,Kabupaten Bantaeng,169,3,91,263
5,Kabupaten Barru,72,10,9,91
6,Kabupaten Bone,322,22,24,368
7,Kabupaten Bulukumba,374,54,193,621
8,Kabupaten Enrekang,282,23,35,340
9,Kabupaten Gowa,564,324,744,1632
10,Kabupaten Jeneponto,529,38,126,693
11,Kabupaten Kepulauan Selayar,84,7,21,112
12,Kabupaten Luwu,239,3,15,257
13,Kabupaten Luwu Timur,446,87,727,1260
14,Kabupaten Luwu Utara,278,40,15,333
15,Kabupaten Maros,275,79,272,626
16,Kabupaten Pangkajene Dan Kepulauan,140,68,63,271
17,Kabupaten Pinrang,569,33,29,631
18,Kabupaten Sidenreng Rappang,96,54,53,203
19,Kabupaten Sinjai,268,23,100,391
20,Kabupaten Soppeng,82,40,86,208
21,Kabupaten Takalar,75,34,117,226
22,Kabupaten Tana Toraja,249,13,41,303
23,Kabupaten Toraja Utara,178,6,9,193
24,Kabupaten Wajo,71,25,15,111
25,Rekreasi Duta Covid19 SulSel,8,0,863,871
26,RS Lain-lain,0,0,267,267
-,Jumlah Sulsel,8442,2551,8604,19597
