No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3060,1441,7882,12383
2,Kota Palopo,179,14,145,338
3,Kota Parepare,168,109,223,500
4,Kabupaten Bantaeng,171,3,144,318
5,Kabupaten Barru,72,10,61,143
6,Kabupaten Bone,322,22,126,470
7,Kabupaten Bulukumba,389,54,249,692
8,Kabupaten Enrekang,321,23,90,434
9,Kabupaten Gowa,565,324,1267,2156
10,Kabupaten Jeneponto,530,38,261,829
11,Kabupaten Kepulauan Selayar,84,7,140,231
12,Kabupaten Luwu,239,3,52,294
13,Kabupaten Luwu Timur,446,87,1228,1761
14,Kabupaten Luwu Utara,278,40,188,506
15,Kabupaten Maros,278,78,486,842
16,Kabupaten Pangkajene Dan Kepulauan,173,68,157,398
17,Kabupaten Pinrang,570,32,90,692
18,Kabupaten Sidenreng Rappang,119,54,150,323
19,Kabupaten Sinjai,278,23,317,618
20,Kabupaten Soppeng,82,40,187,309
21,Kabupaten Takalar,126,33,267,426
22,Kabupaten Tana Toraja,249,13,87,349
23,Kabupaten Toraja Utara,178,6,22,206
24,Kabupaten Wajo,74,25,128,227
25,Rekreasi Duta Covid19 SulSel,8,0,785,793
26,RS Lain-lain,0,0,443,443
-,Jumlah Sulsel,8959,2547,15175,26681
