No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,421,146,68,635
2,Kota Palopo,80,2,0,82
3,Kota Parepare,49,0,0,49
4,Kabupaten Bantaeng,84,2,0,86
5,Kabupaten Barru,56,1,0,57
6,Kabupaten Bone,238,4,0,242
7,Kabupaten Bulukumba,127,13,1,141
8,Kabupaten Enrekang,159,4,0,163
9,Kabupaten Gowa,119,40,16,175
10,Kabupaten Jeneponto,19,4,0,23
11,Kabupaten Kepulauan Selayar,45,1,0,46
12,Kabupaten Luwu,34,2,1,37
13,Kabupaten Luwu Timur,257,13,1,271
14,Kabupaten Luwu Utara,71,9,0,80
15,Kabupaten Maros,119,9,11,139
16,Kabupaten Pangkajene Dan Kepulauan,47,3,1,51
17,Kabupaten Pinrang,16,3,2,21
18,Kabupaten Sidenreng Rappang,74,21,10,105
19,Kabupaten Sinjai,120,8,0,128
20,Kabupaten Soppeng,30,4,0,34
21,Kabupaten Takalar,19,4,1,24
22,Kabupaten Tana Toraja,99,2,0,101
23,Kabupaten Toraja Utara,49,0,0,49
24,Kabupaten Wajo,50,1,0,51
-,Jumlah Sulsel,2382,296,112,2790
