No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,432,152,81,665
2,Kota Palopo,100,2,0,102
3,Kota Parepare,49,0,0,49
4,Kabupaten Bantaeng,93,2,0,95
5,Kabupaten Barru,56,2,0,58
6,Kabupaten Bone,238,4,0,242
7,Kabupaten Bulukumba,134,15,1,150
8,Kabupaten Enrekang,160,4,0,164
9,Kabupaten Gowa,124,51,17,192
10,Kabupaten Jeneponto,19,4,0,23
11,Kabupaten Kepulauan Selayar,48,1,0,49
12,Kabupaten Luwu,34,2,1,37
13,Kabupaten Luwu Timur,257,13,1,271
14,Kabupaten Luwu Utara,71,9,0,80
15,Kabupaten Maros,119,11,12,142
16,Kabupaten Pangkajene Dan Kepulauan,49,4,1,54
17,Kabupaten Pinrang,16,4,2,22
18,Kabupaten Sidenreng Rappang,72,23,11,106
19,Kabupaten Sinjai,129,8,0,137
20,Kabupaten Soppeng,30,5,0,35
21,Kabupaten Takalar,20,5,1,26
22,Kabupaten Tana Toraja,99,2,0,101
23,Kabupaten Toraja Utara,49,0,0,49
24,Kabupaten Wajo,50,1,0,51
-,Jumlah Sulsel,2448,324,128,2900
