No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,550,367,336,1253
2,Kota Palopo,121,3,0,124
3,Kota Parepare,75,14,3,92
4,Kabupaten Bantaeng,138,3,0,141
5,Kabupaten Barru,64,3,0,67
6,Kabupaten Bone,284,10,1,295
7,Kabupaten Bulukumba,200,25,3,228
8,Kabupaten Enrekang,159,11,3,173
9,Kabupaten Gowa,288,167,29,484
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,71,4,0,75
12,Kabupaten Luwu,58,3,2,63
13,Kabupaten Luwu Timur,354,20,1,375
14,Kabupaten Luwu Utara,146,14,1,161
15,Kabupaten Maros,140,19,26,185
16,Kabupaten Pangkajene Dan Kepulauan,79,11,3,93
17,Kabupaten Pinrang,94,11,5,110
18,Kabupaten Sidenreng Rappang,83,30,17,130
19,Kabupaten Sinjai,187,12,0,199
20,Kabupaten Soppeng,60,11,2,73
21,Kabupaten Takalar,41,7,3,51
22,Kabupaten Tana Toraja,145,3,3,151
23,Kabupaten Toraja Utara,77,0,0,77
24,Kabupaten Wajo,57,4,1,62
-,Jumlah Sulsel,3730,768,440,4938
