No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1616,1134,951,3701
2,Kota Palopo,156,10,2,168
3,Kota Parepare,115,66,36,217
4,Kabupaten Bantaeng,162,4,1,167
5,Kabupaten Barru,66,8,0,74
6,Kabupaten Bone,320,23,1,344
7,Kabupaten Bulukumba,269,39,2,310
8,Kabupaten Enrekang,236,20,0,256
9,Kabupaten Gowa,403,272,144,819
10,Kabupaten Jeneponto,264,29,1,294
11,Kabupaten Kepulauan Selayar,79,5,0,84
12,Kabupaten Luwu,69,3,4,76
13,Kabupaten Luwu Timur,463,81,192,736
14,Kabupaten Luwu Utara,207,38,3,248
15,Kabupaten Maros,188,48,26,262
16,Kabupaten Pangkajene Dan Kepulauan,119,22,1,142
17,Kabupaten Pinrang,224,21,5,250
18,Kabupaten Sidenreng Rappang,83,37,20,140
19,Kabupaten Sinjai,210,15,8,233
20,Kabupaten Soppeng,92,19,9,120
21,Kabupaten Takalar,60,34,4,98
22,Kabupaten Tana Toraja,154,7,6,167
23,Kabupaten Toraja Utara,160,3,1,164
24,Kabupaten Wajo,65,12,3,80
25,Rekreasi Duta Covid19 SulSel,8,0,334,342
26,RS Lain-lain,0,0,85,85
-,Jumlah Sulsel,5788,1950,1839,9577
