No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,7705,12183
2,Kota Palopo,179,14,124,317
3,Kota Parepare,168,109,213,490
4,Kabupaten Bantaeng,171,3,120,294
5,Kabupaten Barru,72,10,52,134
6,Kabupaten Bone,322,22,120,464
7,Kabupaten Bulukumba,389,54,238,681
8,Kabupaten Enrekang,321,23,86,430
9,Kabupaten Gowa,565,324,1224,2113
10,Kabupaten Jeneponto,530,38,255,823
11,Kabupaten Kepulauan Selayar,84,7,139,230
12,Kabupaten Luwu,239,3,44,286
13,Kabupaten Luwu Timur,446,87,1193,1726
14,Kabupaten Luwu Utara,278,40,141,459
15,Kabupaten Maros,278,78,450,806
16,Kabupaten Pangkajene Dan Kepulauan,173,68,145,386
17,Kabupaten Pinrang,570,32,79,681
18,Kabupaten Sidenreng Rappang,119,54,141,314
19,Kabupaten Sinjai,278,23,314,615
20,Kabupaten Soppeng,82,40,185,307
21,Kabupaten Takalar,126,33,259,418
22,Kabupaten Tana Toraja,249,13,86,348
23,Kabupaten Toraja Utara,178,6,20,204
24,Kabupaten Wajo,74,25,127,226
25,Rekreasi Duta Covid19 SulSel,8,0,884,892
26,RS Lain-lain,0,0,465,465
-,Jumlah Sulsel,8936,2547,14809,26292
