No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1861,1198,1863,4922
2,Kota Palopo,164,13,2,179
3,Kota Parepare,120,75,45,240
4,Kabupaten Bantaeng,165,3,0,168
5,Kabupaten Barru,68,8,0,76
6,Kabupaten Bone,321,22,3,346
7,Kabupaten Bulukumba,321,43,31,395
8,Kabupaten Enrekang,258,21,8,287
9,Kabupaten Gowa,539,290,290,1119
10,Kabupaten Jeneponto,478,35,6,519
11,Kabupaten Kepulauan Selayar,80,6,0,86
12,Kabupaten Luwu,201,3,7,211
13,Kabupaten Luwu Timur,523,89,421,1033
14,Kabupaten Luwu Utara,245,40,1,286
15,Kabupaten Maros,264,70,72,406
16,Kabupaten Pangkajene Dan Kepulauan,127,32,13,172
17,Kabupaten Pinrang,407,25,7,439
18,Kabupaten Sidenreng Rappang,83,43,30,156
19,Kabupaten Sinjai,247,17,16,280
20,Kabupaten Soppeng,67,31,9,107
21,Kabupaten Takalar,59,34,25,118
22,Kabupaten Tana Toraja,220,10,6,236
23,Kabupaten Toraja Utara,161,3,2,166
24,Kabupaten Wajo,67,21,9,97
25,Rekreasi Duta Covid19 SulSel,8,0,553,561
26,RS Lain-lain,0,0,156,156
-,Jumlah Sulsel,7054,2132,3575,12761
