No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2766,1442,4633,8841
2,Kota Palopo,179,14,39,232
3,Kota Parepare,149,109,84,342
4,Kabupaten Bantaeng,169,3,92,264
5,Kabupaten Barru,72,10,9,91
6,Kabupaten Bone,322,22,24,368
7,Kabupaten Bulukumba,374,54,198,626
8,Kabupaten Enrekang,283,23,35,341
9,Kabupaten Gowa,564,324,774,1662
10,Kabupaten Jeneponto,529,38,129,696
11,Kabupaten Kepulauan Selayar,84,7,21,112
12,Kabupaten Luwu,239,3,15,257
13,Kabupaten Luwu Timur,446,87,727,1260
14,Kabupaten Luwu Utara,278,40,15,333
15,Kabupaten Maros,275,79,275,629
16,Kabupaten Pangkajene Dan Kepulauan,140,68,70,278
17,Kabupaten Pinrang,568,33,29,630
18,Kabupaten Sidenreng Rappang,96,54,54,204
19,Kabupaten Sinjai,268,23,105,396
20,Kabupaten Soppeng,82,40,86,208
21,Kabupaten Takalar,75,34,120,229
22,Kabupaten Tana Toraja,249,13,41,303
23,Kabupaten Toraja Utara,178,6,10,194
24,Kabupaten Wajo,71,25,15,111
25,Rekreasi Duta Covid19 SulSel,8,0,869,877
26,RS Lain-lain,0,0,271,271
-,Jumlah Sulsel,8464,2551,8740,19755
