No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,877,746,566,2189
2,Kota Palopo,142,9,3,154
3,Kota Parepare,88,38,22,148
4,Kabupaten Bantaeng,146,3,1,150
5,Kabupaten Barru,64,5,8,77
6,Kabupaten Bone,297,18,6,321
7,Kabupaten Bulukumba,247,36,7,290
8,Kabupaten Enrekang,169,13,5,187
9,Kabupaten Gowa,354,237,67,658
10,Kabupaten Jeneponto,261,17,4,282
11,Kabupaten Kepulauan Selayar,74,5,1,80
12,Kabupaten Luwu,62,3,14,79
13,Kabupaten Luwu Timur,429,33,24,486
14,Kabupaten Luwu Utara,179,26,29,234
15,Kabupaten Maros,185,31,46,262
16,Kabupaten Pangkajene Dan Kepulauan,112,17,16,145
17,Kabupaten Pinrang,150,18,5,173
18,Kabupaten Sidenreng Rappang,80,32,22,134
19,Kabupaten Sinjai,206,13,7,226
20,Kabupaten Soppeng,91,19,9,119
21,Kabupaten Takalar,49,19,5,73
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,160,2,0,162
24,Kabupaten Wajo,59,8,1,68
-,Jumlah Sulsel,4627,1352,871,6850
