No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,503,263,285,1051
2,Kota Palopo,121,2,0,123
3,Kota Parepare,66,7,0,73
4,Kabupaten Bantaeng,111,2,0,113
5,Kabupaten Barru,59,2,0,61
6,Kabupaten Bone,281,8,0,289
7,Kabupaten Bulukumba,187,22,1,210
8,Kabupaten Enrekang,159,10,2,171
9,Kabupaten Gowa,234,111,28,373
10,Kabupaten Jeneponto,248,12,1,261
11,Kabupaten Kepulauan Selayar,65,3,0,68
12,Kabupaten Luwu,35,2,1,38
13,Kabupaten Luwu Timur,267,17,1,285
14,Kabupaten Luwu Utara,121,10,0,131
15,Kabupaten Maros,129,13,22,164
16,Kabupaten Pangkajene Dan Kepulauan,70,9,2,81
17,Kabupaten Pinrang,33,7,5,45
18,Kabupaten Sidenreng Rappang,75,29,15,119
19,Kabupaten Sinjai,168,12,0,180
20,Kabupaten Soppeng,48,6,1,55
21,Kabupaten Takalar,32,7,2,41
22,Kabupaten Tana Toraja,128,3,2,133
23,Kabupaten Toraja Utara,77,0,0,77
24,Kabupaten Wajo,55,3,1,59
-,Jumlah Sulsel,3272,560,369,4201
