No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2524,1393,3972,7889
2,Kota Palopo,177,14,26,217
3,Kota Parepare,147,101,75,323
4,Kabupaten Bantaeng,169,3,76,248
5,Kabupaten Barru,72,10,7,89
6,Kabupaten Bone,321,22,20,363
7,Kabupaten Bulukumba,363,54,165,582
8,Kabupaten Enrekang,285,23,33,341
9,Kabupaten Gowa,560,318,636,1514
10,Kabupaten Jeneponto,529,39,75,643
11,Kabupaten Kepulauan Selayar,84,7,19,110
12,Kabupaten Luwu,239,3,11,253
13,Kabupaten Luwu Timur,446,87,651,1184
14,Kabupaten Luwu Utara,278,40,14,332
15,Kabupaten Maros,273,79,170,522
16,Kabupaten Pangkajene Dan Kepulauan,135,57,39,231
17,Kabupaten Pinrang,549,33,29,611
18,Kabupaten Sidenreng Rappang,89,54,36,179
19,Kabupaten Sinjai,259,20,76,355
20,Kabupaten Soppeng,82,40,69,191
21,Kabupaten Takalar,75,34,110,219
22,Kabupaten Tana Toraja,241,13,34,288
23,Kabupaten Toraja Utara,178,6,6,190
24,Kabupaten Wajo,71,25,11,107
25,Rekreasi Duta Covid19 SulSel,8,0,821,829
26,RS Lain-lain,0,0,247,247
-,Jumlah Sulsel,8154,2475,7428,18057
