No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,10029,14572
2,Kota Palopo,179,14,377,570
3,Kota Parepare,168,109,358,635
4,Kabupaten Bantaeng,171,3,274,448
5,Kabupaten Barru,72,10,111,193
6,Kabupaten Bone,322,22,382,726
7,Kabupaten Bulukumba,389,54,358,801
8,Kabupaten Enrekang,321,23,186,530
9,Kabupaten Gowa,565,324,1607,2496
10,Kabupaten Jeneponto,530,38,603,1171
11,Kabupaten Kepulauan Selayar,84,7,178,269
12,Kabupaten Luwu,239,3,135,377
13,Kabupaten Luwu Timur,446,87,1586,2119
14,Kabupaten Luwu Utara,278,40,417,735
15,Kabupaten Maros,278,78,662,1018
16,Kabupaten Pangkajene Dan Kepulauan,173,68,226,467
17,Kabupaten Pinrang,570,32,207,809
18,Kabupaten Sidenreng Rappang,119,54,185,358
19,Kabupaten Sinjai,278,23,471,772
20,Kabupaten Soppeng,82,40,248,370
21,Kabupaten Takalar,126,33,329,488
22,Kabupaten Tana Toraja,249,13,116,378
23,Kabupaten Toraja Utara,178,6,50,234
24,Kabupaten Wajo,74,25,234,333
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,443,443
-,Jumlah Sulsel,9001,2547,20347,31895
