No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2324,1339,3453,7116
2,Kota Palopo,177,14,8,199
3,Kota Parepare,128,97,71,296
4,Kabupaten Bantaeng,169,3,14,186
5,Kabupaten Barru,72,10,5,87
6,Kabupaten Bone,321,22,7,350
7,Kabupaten Bulukumba,361,51,152,564
8,Kabupaten Enrekang,278,23,32,333
9,Kabupaten Gowa,554,310,533,1397
10,Kabupaten Jeneponto,529,39,43,611
11,Kabupaten Kepulauan Selayar,83,6,10,99
12,Kabupaten Luwu,239,3,7,249
13,Kabupaten Luwu Timur,446,87,557,1090
14,Kabupaten Luwu Utara,272,40,10,322
15,Kabupaten Maros,273,76,147,496
16,Kabupaten Pangkajene Dan Kepulauan,130,53,27,210
17,Kabupaten Pinrang,542,33,23,598
18,Kabupaten Sidenreng Rappang,87,51,36,174
19,Kabupaten Sinjai,259,20,51,330
20,Kabupaten Soppeng,82,40,42,164
21,Kabupaten Takalar,72,34,84,190
22,Kabupaten Tana Toraja,230,11,28,269
23,Kabupaten Toraja Utara,177,6,4,187
24,Kabupaten Wajo,71,22,9,102
25,Rekreasi Duta Covid19 SulSel,8,0,764,772
26,RS Lain-lain,0,0,232,232
-,Jumlah Sulsel,7884,2390,6349,16623
