No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1299,1027,822,3148
2,Kota Palopo,145,9,2,156
3,Kota Parepare,96,50,35,181
4,Kabupaten Bantaeng,156,4,0,160
5,Kabupaten Barru,67,8,0,75
6,Kabupaten Bone,318,22,1,341
7,Kabupaten Bulukumba,265,36,0,301
8,Kabupaten Enrekang,176,14,0,190
9,Kabupaten Gowa,383,265,97,745
10,Kabupaten Jeneponto,261,24,0,285
11,Kabupaten Kepulauan Selayar,74,5,0,79
12,Kabupaten Luwu,66,3,2,71
13,Kabupaten Luwu Timur,453,56,150,659
14,Kabupaten Luwu Utara,195,33,2,230
15,Kabupaten Maros,185,45,22,252
16,Kabupaten Pangkajene Dan Kepulauan,116,21,1,138
17,Kabupaten Pinrang,197,21,4,222
18,Kabupaten Sidenreng Rappang,82,33,19,134
19,Kabupaten Sinjai,211,15,5,231
20,Kabupaten Soppeng,91,19,9,119
21,Kabupaten Takalar,58,29,2,89
22,Kabupaten Tana Toraja,148,5,6,159
23,Kabupaten Toraja Utara,160,3,1,164
24,Kabupaten Wajo,62,13,1,76
25,Rekreasi Duta Covid19 SulSel,8,0,300,308
26,RS Lain-lain,0,0,64,64
-,Jumlah Sulsel,5272,1760,1545,8577
