No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3060,1441,8119,12620
2,Kota Palopo,179,14,166,359
3,Kota Parepare,168,109,226,503
4,Kabupaten Bantaeng,171,3,161,335
5,Kabupaten Barru,72,10,72,154
6,Kabupaten Bone,322,22,131,475
7,Kabupaten Bulukumba,389,54,257,700
8,Kabupaten Enrekang,321,23,112,456
9,Kabupaten Gowa,565,324,1299,2188
10,Kabupaten Jeneponto,530,38,301,869
11,Kabupaten Kepulauan Selayar,84,7,157,248
12,Kabupaten Luwu,239,3,72,314
13,Kabupaten Luwu Timur,446,87,1303,1836
14,Kabupaten Luwu Utara,278,40,210,528
15,Kabupaten Maros,278,78,509,865
16,Kabupaten Pangkajene Dan Kepulauan,173,68,169,410
17,Kabupaten Pinrang,570,32,107,709
18,Kabupaten Sidenreng Rappang,119,54,156,329
19,Kabupaten Sinjai,278,23,329,630
20,Kabupaten Soppeng,82,40,189,311
21,Kabupaten Takalar,126,33,278,437
22,Kabupaten Tana Toraja,249,13,87,349
23,Kabupaten Toraja Utara,178,6,22,206
24,Kabupaten Wajo,74,25,131,230
25,Rekreasi Duta Covid19 SulSel,8,0,578,586
26,RS Lain-lain,0,0,438,438
-,Jumlah Sulsel,8959,2547,15579,27085
