No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,9355,13898
2,Kota Palopo,179,14,339,532
3,Kota Parepare,168,109,326,603
4,Kabupaten Bantaeng,171,3,231,405
5,Kabupaten Barru,72,10,102,184
6,Kabupaten Bone,322,22,209,553
7,Kabupaten Bulukumba,389,54,325,768
8,Kabupaten Enrekang,321,23,163,507
9,Kabupaten Gowa,565,324,1489,2378
10,Kabupaten Jeneponto,530,38,534,1102
11,Kabupaten Kepulauan Selayar,84,7,168,259
12,Kabupaten Luwu,239,3,123,365
13,Kabupaten Luwu Timur,446,87,1564,2097
14,Kabupaten Luwu Utara,278,40,351,669
15,Kabupaten Maros,278,78,604,960
16,Kabupaten Pangkajene Dan Kepulauan,173,68,211,452
17,Kabupaten Pinrang,570,32,190,792
18,Kabupaten Sidenreng Rappang,119,54,175,348
19,Kabupaten Sinjai,278,23,431,732
20,Kabupaten Soppeng,82,40,220,342
21,Kabupaten Takalar,126,33,317,476
22,Kabupaten Tana Toraja,249,13,115,377
23,Kabupaten Toraja Utara,178,6,37,221
24,Kabupaten Wajo,74,25,160,259
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,446,446
-,Jumlah Sulsel,9001,2547,18760,30308
