No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1740,1184,1509,4433
2,Kota Palopo,164,10,2,176
3,Kota Parepare,118,73,37,228
4,Kabupaten Bantaeng,165,3,1,169
5,Kabupaten Barru,68,8,0,76
6,Kabupaten Bone,321,22,3,346
7,Kabupaten Bulukumba,309,42,5,356
8,Kabupaten Enrekang,249,21,3,273
9,Kabupaten Gowa,419,282,219,920
10,Kabupaten Jeneponto,451,34,5,490
11,Kabupaten Kepulauan Selayar,78,6,0,84
12,Kabupaten Luwu,69,3,6,78
13,Kabupaten Luwu Timur,523,89,390,1002
14,Kabupaten Luwu Utara,233,39,0,272
15,Kabupaten Maros,263,65,57,385
16,Kabupaten Pangkajene Dan Kepulauan,123,28,8,159
17,Kabupaten Pinrang,392,25,6,423
18,Kabupaten Sidenreng Rappang,83,42,22,147
19,Kabupaten Sinjai,244,17,10,271
20,Kabupaten Soppeng,77,31,9,117
21,Kabupaten Takalar,59,34,14,107
22,Kabupaten Tana Toraja,170,10,6,186
23,Kabupaten Toraja Utara,161,3,1,165
24,Kabupaten Wajo,65,19,6,90
25,Rekreasi Duta Covid19 SulSel,8,0,498,506
26,RS Lain-lain,0,0,119,119
-,Jumlah Sulsel,6552,2090,2936,11578
