No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,10202,14745
2,Kota Palopo,179,14,381,574
3,Kota Parepare,168,109,359,636
4,Kabupaten Bantaeng,171,3,277,451
5,Kabupaten Barru,72,10,112,194
6,Kabupaten Bone,322,22,396,740
7,Kabupaten Bulukumba,389,54,365,808
8,Kabupaten Enrekang,321,23,185,529
9,Kabupaten Gowa,565,324,1617,2506
10,Kabupaten Jeneponto,530,38,613,1181
11,Kabupaten Kepulauan Selayar,84,7,178,269
12,Kabupaten Luwu,239,3,135,377
13,Kabupaten Luwu Timur,446,87,1618,2151
14,Kabupaten Luwu Utara,278,40,426,744
15,Kabupaten Maros,278,78,679,1035
16,Kabupaten Pangkajene Dan Kepulauan,173,68,232,473
17,Kabupaten Pinrang,570,32,210,812
18,Kabupaten Sidenreng Rappang,119,54,187,360
19,Kabupaten Sinjai,278,23,479,780
20,Kabupaten Soppeng,82,40,251,373
21,Kabupaten Takalar,126,33,333,492
22,Kabupaten Tana Toraja,249,13,116,378
23,Kabupaten Toraja Utara,178,6,52,236
24,Kabupaten Wajo,74,25,236,335
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,443,443
-,Jumlah Sulsel,9001,2547,20657,32205
