No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,9014,13557
2,Kota Palopo,179,14,297,490
3,Kota Parepare,168,109,309,586
4,Kabupaten Bantaeng,171,3,210,384
5,Kabupaten Barru,72,10,100,182
6,Kabupaten Bone,322,22,170,514
7,Kabupaten Bulukumba,389,54,301,744
8,Kabupaten Enrekang,321,23,156,500
9,Kabupaten Gowa,565,324,1417,2306
10,Kabupaten Jeneponto,530,38,474,1042
11,Kabupaten Kepulauan Selayar,84,7,165,256
12,Kabupaten Luwu,239,3,91,333
13,Kabupaten Luwu Timur,446,87,1473,2006
14,Kabupaten Luwu Utara,278,40,308,626
15,Kabupaten Maros,278,78,574,930
16,Kabupaten Pangkajene Dan Kepulauan,173,68,199,440
17,Kabupaten Pinrang,570,32,175,777
18,Kabupaten Sidenreng Rappang,119,54,164,337
19,Kabupaten Sinjai,278,23,404,705
20,Kabupaten Soppeng,82,40,205,327
21,Kabupaten Takalar,126,33,307,466
22,Kabupaten Tana Toraja,249,13,115,377
23,Kabupaten Toraja Utara,178,6,34,218
24,Kabupaten Wajo,74,25,143,242
25,Rekreasi Duta Covid19 SulSel,8,0,576,584
26,RS Lain-lain,0,0,447,447
-,Jumlah Sulsel,9001,2547,17828,29376
