No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,8667,13210
2,Kota Palopo,179,14,258,451
3,Kota Parepare,168,109,289,566
4,Kabupaten Bantaeng,171,3,189,363
5,Kabupaten Barru,72,10,92,174
6,Kabupaten Bone,322,22,141,485
7,Kabupaten Bulukumba,389,54,286,729
8,Kabupaten Enrekang,321,23,139,483
9,Kabupaten Gowa,565,324,1368,2257
10,Kabupaten Jeneponto,530,38,394,962
11,Kabupaten Kepulauan Selayar,84,7,157,248
12,Kabupaten Luwu,239,3,83,325
13,Kabupaten Luwu Timur,446,87,1392,1925
14,Kabupaten Luwu Utara,278,40,275,593
15,Kabupaten Maros,278,78,546,902
16,Kabupaten Pangkajene Dan Kepulauan,173,68,180,421
17,Kabupaten Pinrang,570,32,137,739
18,Kabupaten Sidenreng Rappang,119,54,158,331
19,Kabupaten Sinjai,278,23,364,665
20,Kabupaten Soppeng,82,40,195,317
21,Kabupaten Takalar,126,33,298,457
22,Kabupaten Tana Toraja,249,13,115,377
23,Kabupaten Toraja Utara,178,6,32,216
24,Kabupaten Wajo,74,25,135,234
25,Rekreasi Duta Covid19 SulSel,8,0,576,584
26,RS Lain-lain,0,0,451,451
-,Jumlah Sulsel,9001,2547,16917,28465
