No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,6933,11411
2,Kota Palopo,179,14,94,287
3,Kota Parepare,168,109,154,431
4,Kabupaten Bantaeng,171,3,97,271
5,Kabupaten Barru,72,10,31,113
6,Kabupaten Bone,322,22,54,398
7,Kabupaten Bulukumba,389,54,219,662
8,Kabupaten Enrekang,321,23,72,416
9,Kabupaten Gowa,565,324,1126,2015
10,Kabupaten Jeneponto,530,38,158,726
11,Kabupaten Kepulauan Selayar,84,7,68,159
12,Kabupaten Luwu,239,3,42,284
13,Kabupaten Luwu Timur,446,87,939,1472
14,Kabupaten Luwu Utara,278,40,92,410
15,Kabupaten Maros,278,78,385,741
16,Kabupaten Pangkajene Dan Kepulauan,173,68,107,348
17,Kabupaten Pinrang,570,32,43,645
18,Kabupaten Sidenreng Rappang,119,54,118,291
19,Kabupaten Sinjai,278,23,282,583
20,Kabupaten Soppeng,82,40,177,299
21,Kabupaten Takalar,126,33,244,403
22,Kabupaten Tana Toraja,249,13,72,334
23,Kabupaten Toraja Utara,178,6,15,199
24,Kabupaten Wajo,74,25,84,183
25,Rekreasi Duta Covid19 SulSel,8,0,885,893
26,RS Lain-lain,0,0,414,414
-,Jumlah Sulsel,8936,2547,12905,24388
