No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2990,1441,6349,10780
2,Kota Palopo,179,14,77,270
3,Kota Parepare,167,109,121,397
4,Kabupaten Bantaeng,171,3,94,268
5,Kabupaten Barru,72,10,15,97
6,Kabupaten Bone,322,22,43,387
7,Kabupaten Bulukumba,389,54,215,658
8,Kabupaten Enrekang,307,23,53,383
9,Kabupaten Gowa,565,324,1064,1953
10,Kabupaten Jeneponto,530,38,143,711
11,Kabupaten Kepulauan Selayar,84,7,35,126
12,Kabupaten Luwu,239,3,38,280
13,Kabupaten Luwu Timur,446,87,885,1418
14,Kabupaten Luwu Utara,278,40,61,379
15,Kabupaten Maros,278,78,349,705
16,Kabupaten Pangkajene Dan Kepulauan,173,68,93,334
17,Kabupaten Pinrang,569,32,38,639
18,Kabupaten Sidenreng Rappang,113,54,105,272
19,Kabupaten Sinjai,278,23,267,568
20,Kabupaten Soppeng,82,40,144,266
21,Kabupaten Takalar,126,33,162,321
22,Kabupaten Tana Toraja,249,13,63,325
23,Kabupaten Toraja Utara,178,6,11,195
24,Kabupaten Wajo,74,25,51,150
25,Rekreasi Duta Covid19 SulSel,8,0,885,893
26,RS Lain-lain,0,0,365,365
-,Jumlah Sulsel,8867,2547,11726,23140
