No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2268,1295,3197,6760
2,Kota Palopo,171,14,6,191
3,Kota Parepare,122,85,69,276
4,Kabupaten Bantaeng,169,3,0,172
5,Kabupaten Barru,71,10,5,86
6,Kabupaten Bone,321,22,7,350
7,Kabupaten Bulukumba,359,50,135,544
8,Kabupaten Enrekang,276,23,27,326
9,Kabupaten Gowa,554,293,479,1326
10,Kabupaten Jeneponto,520,38,34,592
11,Kabupaten Kepulauan Selayar,83,6,10,99
12,Kabupaten Luwu,239,3,7,249
13,Kabupaten Luwu Timur,446,87,539,1072
14,Kabupaten Luwu Utara,272,40,9,321
15,Kabupaten Maros,273,75,138,486
16,Kabupaten Pangkajene Dan Kepulauan,130,49,25,204
17,Kabupaten Pinrang,542,29,18,589
18,Kabupaten Sidenreng Rappang,90,51,36,177
19,Kabupaten Sinjai,259,20,47,326
20,Kabupaten Soppeng,82,40,41,163
21,Kabupaten Takalar,72,34,78,184
22,Kabupaten Tana Toraja,230,10,11,251
23,Kabupaten Toraja Utara,177,6,3,186
24,Kabupaten Wajo,71,22,9,102
25,Rekreasi Duta Covid19 SulSel,8,0,729,737
26,RS Lain-lain,0,0,226,226
-,Jumlah Sulsel,7805,2305,5885,15995
