No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,7468,11946
2,Kota Palopo,179,14,107,300
3,Kota Parepare,168,109,193,470
4,Kabupaten Bantaeng,171,3,101,275
5,Kabupaten Barru,72,10,46,128
6,Kabupaten Bone,322,22,111,455
7,Kabupaten Bulukumba,389,54,231,674
8,Kabupaten Enrekang,321,23,78,422
9,Kabupaten Gowa,565,324,1201,2090
10,Kabupaten Jeneponto,530,38,212,780
11,Kabupaten Kepulauan Selayar,84,7,123,214
12,Kabupaten Luwu,239,3,43,285
13,Kabupaten Luwu Timur,446,87,1130,1663
14,Kabupaten Luwu Utara,278,40,127,445
15,Kabupaten Maros,278,78,426,782
16,Kabupaten Pangkajene Dan Kepulauan,173,68,122,363
17,Kabupaten Pinrang,570,32,64,666
18,Kabupaten Sidenreng Rappang,119,54,133,306
19,Kabupaten Sinjai,278,23,302,603
20,Kabupaten Soppeng,82,40,183,305
21,Kabupaten Takalar,126,33,253,412
22,Kabupaten Tana Toraja,249,13,85,347
23,Kabupaten Toraja Utara,178,6,20,204
24,Kabupaten Wajo,74,25,120,219
25,Rekreasi Duta Covid19 SulSel,8,0,884,892
26,RS Lain-lain,0,0,434,434
-,Jumlah Sulsel,8936,2547,14197,25680
