No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3060,1441,8424,12925
2,Kota Palopo,179,14,193,386
3,Kota Parepare,168,109,240,517
4,Kabupaten Bantaeng,171,3,175,349
5,Kabupaten Barru,72,10,80,162
6,Kabupaten Bone,322,22,137,481
7,Kabupaten Bulukumba,389,54,262,705
8,Kabupaten Enrekang,321,23,126,470
9,Kabupaten Gowa,565,324,1343,2232
10,Kabupaten Jeneponto,530,38,344,912
11,Kabupaten Kepulauan Selayar,84,7,156,247
12,Kabupaten Luwu,239,3,75,317
13,Kabupaten Luwu Timur,446,87,1376,1909
14,Kabupaten Luwu Utara,278,40,247,565
15,Kabupaten Maros,278,78,531,887
16,Kabupaten Pangkajene Dan Kepulauan,173,68,174,415
17,Kabupaten Pinrang,570,32,129,731
18,Kabupaten Sidenreng Rappang,119,54,156,329
19,Kabupaten Sinjai,278,23,347,648
20,Kabupaten Soppeng,82,40,194,316
21,Kabupaten Takalar,126,33,289,448
22,Kabupaten Tana Toraja,249,13,111,373
23,Kabupaten Toraja Utara,178,6,28,212
24,Kabupaten Wajo,74,25,133,232
25,Rekreasi Duta Covid19 SulSel,8,0,577,585
26,RS Lain-lain,0,0,451,451
-,Jumlah Sulsel,8959,2547,16298,27804
