No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3060,1441,8205,12706
2,Kota Palopo,179,14,175,368
3,Kota Parepare,168,109,230,507
4,Kabupaten Bantaeng,171,3,161,335
5,Kabupaten Barru,72,10,77,159
6,Kabupaten Bone,322,22,132,476
7,Kabupaten Bulukumba,389,54,257,700
8,Kabupaten Enrekang,321,23,114,458
9,Kabupaten Gowa,565,324,1310,2199
10,Kabupaten Jeneponto,530,38,316,884
11,Kabupaten Kepulauan Selayar,84,7,157,248
12,Kabupaten Luwu,239,3,75,317
13,Kabupaten Luwu Timur,446,87,1315,1848
14,Kabupaten Luwu Utara,278,40,214,532
15,Kabupaten Maros,278,78,516,872
16,Kabupaten Pangkajene Dan Kepulauan,173,68,170,411
17,Kabupaten Pinrang,570,32,108,710
18,Kabupaten Sidenreng Rappang,119,54,156,329
19,Kabupaten Sinjai,278,23,333,634
20,Kabupaten Soppeng,82,40,190,312
21,Kabupaten Takalar,126,33,278,437
22,Kabupaten Tana Toraja,249,13,87,349
23,Kabupaten Toraja Utara,178,6,22,206
24,Kabupaten Wajo,74,25,132,231
25,Rekreasi Duta Covid19 SulSel,8,0,577,585
26,RS Lain-lain,0,0,452,452
-,Jumlah Sulsel,8959,2547,15759,27265
