No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,7317,11795
2,Kota Palopo,179,14,102,295
3,Kota Parepare,168,109,188,465
4,Kabupaten Bantaeng,171,3,99,273
5,Kabupaten Barru,72,10,44,126
6,Kabupaten Bone,322,22,107,451
7,Kabupaten Bulukumba,389,54,228,671
8,Kabupaten Enrekang,321,23,77,421
9,Kabupaten Gowa,565,324,1177,2066
10,Kabupaten Jeneponto,530,38,192,760
11,Kabupaten Kepulauan Selayar,84,7,123,214
12,Kabupaten Luwu,239,3,42,284
13,Kabupaten Luwu Timur,446,87,1027,1560
14,Kabupaten Luwu Utara,278,40,108,426
15,Kabupaten Maros,278,78,414,770
16,Kabupaten Pangkajene Dan Kepulauan,173,68,118,359
17,Kabupaten Pinrang,570,32,52,654
18,Kabupaten Sidenreng Rappang,119,54,129,302
19,Kabupaten Sinjai,278,23,293,594
20,Kabupaten Soppeng,82,40,178,300
21,Kabupaten Takalar,126,33,252,411
22,Kabupaten Tana Toraja,249,13,80,342
23,Kabupaten Toraja Utara,178,6,16,200
24,Kabupaten Wajo,74,25,115,214
25,Rekreasi Duta Covid19 SulSel,8,0,885,893
26,RS Lain-lain,0,0,432,432
-,Jumlah Sulsel,8936,2547,13795,25278
