No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,9825,14368
2,Kota Palopo,179,14,377,570
3,Kota Parepare,168,109,343,620
4,Kabupaten Bantaeng,171,3,266,440
5,Kabupaten Barru,72,10,107,189
6,Kabupaten Bone,322,22,345,689
7,Kabupaten Bulukumba,389,54,350,793
8,Kabupaten Enrekang,321,23,178,522
9,Kabupaten Gowa,565,324,1582,2471
10,Kabupaten Jeneponto,530,38,587,1155
11,Kabupaten Kepulauan Selayar,84,7,171,262
12,Kabupaten Luwu,239,3,132,374
13,Kabupaten Luwu Timur,446,87,1585,2118
14,Kabupaten Luwu Utara,278,40,403,721
15,Kabupaten Maros,278,78,639,995
16,Kabupaten Pangkajene Dan Kepulauan,173,68,220,461
17,Kabupaten Pinrang,570,32,202,804
18,Kabupaten Sidenreng Rappang,119,54,178,351
19,Kabupaten Sinjai,278,23,456,757
20,Kabupaten Soppeng,82,40,237,359
21,Kabupaten Takalar,126,33,324,483
22,Kabupaten Tana Toraja,249,13,116,378
23,Kabupaten Toraja Utara,178,6,45,229
24,Kabupaten Wajo,74,25,210,309
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,443,443
-,Jumlah Sulsel,9001,2547,19896,31444
