No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,9130,13673
2,Kota Palopo,179,14,323,516
3,Kota Parepare,168,109,310,587
4,Kabupaten Bantaeng,171,3,221,395
5,Kabupaten Barru,72,10,101,183
6,Kabupaten Bone,322,22,182,526
7,Kabupaten Bulukumba,389,54,312,755
8,Kabupaten Enrekang,321,23,157,501
9,Kabupaten Gowa,565,324,1441,2330
10,Kabupaten Jeneponto,530,38,500,1068
11,Kabupaten Kepulauan Selayar,84,7,166,257
12,Kabupaten Luwu,239,3,107,349
13,Kabupaten Luwu Timur,446,87,1518,2051
14,Kabupaten Luwu Utara,278,40,313,631
15,Kabupaten Maros,278,78,579,935
16,Kabupaten Pangkajene Dan Kepulauan,173,68,204,445
17,Kabupaten Pinrang,570,32,178,780
18,Kabupaten Sidenreng Rappang,119,54,167,340
19,Kabupaten Sinjai,278,23,412,713
20,Kabupaten Soppeng,82,40,207,329
21,Kabupaten Takalar,126,33,308,467
22,Kabupaten Tana Toraja,249,13,116,378
23,Kabupaten Toraja Utara,178,6,36,220
24,Kabupaten Wajo,74,25,144,243
25,Rekreasi Duta Covid19 SulSel,8,0,576,584
26,RS Lain-lain,0,0,447,447
-,Jumlah Sulsel,9001,2547,18155,29703
