No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2222,1299,3011,6532
2,Kota Palopo,171,14,6,191
3,Kota Parepare,122,85,67,274
4,Kabupaten Bantaeng,169,3,0,172
5,Kabupaten Barru,71,10,4,85
6,Kabupaten Bone,321,22,8,351
7,Kabupaten Bulukumba,351,51,137,539
8,Kabupaten Enrekang,270,23,27,320
9,Kabupaten Gowa,545,295,424,1264
10,Kabupaten Jeneponto,520,39,29,588
11,Kabupaten Kepulauan Selayar,83,6,10,99
12,Kabupaten Luwu,239,3,7,249
13,Kabupaten Luwu Timur,446,87,539,1072
14,Kabupaten Luwu Utara,266,40,7,313
15,Kabupaten Maros,273,75,126,474
16,Kabupaten Pangkajene Dan Kepulauan,130,49,25,204
17,Kabupaten Pinrang,542,29,18,589
18,Kabupaten Sidenreng Rappang,90,51,36,177
19,Kabupaten Sinjai,259,20,46,325
20,Kabupaten Soppeng,82,41,40,163
21,Kabupaten Takalar,71,34,74,179
22,Kabupaten Tana Toraja,225,10,10,245
23,Kabupaten Toraja Utara,177,6,3,186
24,Kabupaten Wajo,71,22,9,102
25,Rekreasi Duta Covid19 SulSel,8,0,679,687
26,RS Lain-lain,0,0,223,223
-,Jumlah Sulsel,7724,2314,5565,15603
