No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,897,774,583,2254
2,Kota Palopo,142,9,3,154
3,Kota Parepare,88,38,22,148
4,Kabupaten Bantaeng,146,3,1,150
5,Kabupaten Barru,64,5,8,77
6,Kabupaten Bone,297,17,8,322
7,Kabupaten Bulukumba,252,36,7,295
8,Kabupaten Enrekang,170,13,5,188
9,Kabupaten Gowa,353,236,70,659
10,Kabupaten Jeneponto,261,18,4,283
11,Kabupaten Kepulauan Selayar,74,5,1,80
12,Kabupaten Luwu,62,3,20,85
13,Kabupaten Luwu Timur,403,33,27,463
14,Kabupaten Luwu Utara,179,30,30,239
15,Kabupaten Maros,187,30,48,265
16,Kabupaten Pangkajene Dan Kepulauan,112,19,16,147
17,Kabupaten Pinrang,155,18,5,178
18,Kabupaten Sidenreng Rappang,80,32,26,138
19,Kabupaten Sinjai,206,13,15,234
20,Kabupaten Soppeng,91,19,9,119
21,Kabupaten Takalar,51,20,5,76
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,160,2,0,162
24,Kabupaten Wajo,60,9,1,70
-,Jumlah Sulsel,4636,1386,917,6939
