No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,12616,17159
2,Kota Palopo,179,14,502,695
3,Kota Parepare,168,109,485,762
4,Kabupaten Bantaeng,171,3,490,664
5,Kabupaten Barru,72,10,141,223
6,Kabupaten Bone,322,22,661,1005
7,Kabupaten Bulukumba,389,54,412,855
8,Kabupaten Enrekang,321,23,191,535
9,Kabupaten Gowa,565,324,2078,2967
10,Kabupaten Jeneponto,530,38,774,1342
11,Kabupaten Kepulauan Selayar,84,7,229,320
12,Kabupaten Luwu,239,3,161,403
13,Kabupaten Luwu Timur,446,87,1769,2302
14,Kabupaten Luwu Utara,278,40,484,802
15,Kabupaten Maros,278,78,869,1225
16,Kabupaten Pangkajene Dan Kepulauan,173,68,317,558
17,Kabupaten Pinrang,570,32,247,849
18,Kabupaten Sidenreng Rappang,119,54,376,549
19,Kabupaten Sinjai,278,23,609,910
20,Kabupaten Soppeng,82,40,353,475
21,Kabupaten Takalar,126,33,442,601
22,Kabupaten Tana Toraja,249,13,124,386
23,Kabupaten Toraja Utara,178,6,75,259
24,Kabupaten Wajo,74,25,342,441
25,Rekreasi Duta Covid19 SulSel,8,0,574,582
26,RS Lain-lain,0,0,442,442
-,Jumlah Sulsel,9001,2547,25763,37311
