No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,565,407,353,1325
2,Kota Palopo,124,3,0,127
3,Kota Parepare,75,15,3,93
4,Kabupaten Bantaeng,145,3,0,148
5,Kabupaten Barru,64,4,0,68
6,Kabupaten Bone,289,10,1,300
7,Kabupaten Bulukumba,210,26,3,239
8,Kabupaten Enrekang,159,11,3,173
9,Kabupaten Gowa,292,172,29,493
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,72,4,0,76
12,Kabupaten Luwu,58,3,2,63
13,Kabupaten Luwu Timur,361,20,2,383
14,Kabupaten Luwu Utara,160,14,1,175
15,Kabupaten Maros,145,19,27,191
16,Kabupaten Pangkajene Dan Kepulauan,86,13,3,102
17,Kabupaten Pinrang,94,14,5,113
18,Kabupaten Sidenreng Rappang,80,29,21,130
19,Kabupaten Sinjai,198,12,0,210
20,Kabupaten Soppeng,62,16,3,81
21,Kabupaten Takalar,41,8,4,53
22,Kabupaten Tana Toraja,145,4,3,152
23,Kabupaten Toraja Utara,95,0,0,95
24,Kabupaten Wajo,57,4,1,62
-,Jumlah Sulsel,3836,827,465,5128
