No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,14173,18716
2,Kota Palopo,179,14,499,692
3,Kota Parepare,168,109,501,778
4,Kabupaten Bantaeng,171,3,541,715
5,Kabupaten Barru,72,10,163,245
6,Kabupaten Bone,322,22,747,1091
7,Kabupaten Bulukumba,389,54,440,883
8,Kabupaten Enrekang,321,23,198,542
9,Kabupaten Gowa,565,324,2289,3178
10,Kabupaten Jeneponto,530,38,813,1381
11,Kabupaten Kepulauan Selayar,84,7,273,364
12,Kabupaten Luwu,239,3,178,420
13,Kabupaten Luwu Timur,446,87,1854,2387
14,Kabupaten Luwu Utara,278,40,510,828
15,Kabupaten Maros,278,78,918,1274
16,Kabupaten Pangkajene Dan Kepulauan,173,68,354,595
17,Kabupaten Pinrang,570,32,274,876
18,Kabupaten Sidenreng Rappang,119,54,431,604
19,Kabupaten Sinjai,278,23,687,988
20,Kabupaten Soppeng,82,40,383,505
21,Kabupaten Takalar,126,33,473,632
22,Kabupaten Tana Toraja,249,13,126,388
23,Kabupaten Toraja Utara,178,6,104,288
24,Kabupaten Wajo,74,25,371,470
25,Rekreasi Duta Covid19 SulSel,8,0,574,582
26,RS Lain-lain,0,0,442,442
-,Jumlah Sulsel,9001,2547,28316,39864
