No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,11194,15737
2,Kota Palopo,179,14,404,597
3,Kota Parepare,168,109,422,699
4,Kabupaten Bantaeng,171,3,395,569
5,Kabupaten Barru,72,10,119,201
6,Kabupaten Bone,322,22,595,939
7,Kabupaten Bulukumba,389,54,394,837
8,Kabupaten Enrekang,321,23,188,532
9,Kabupaten Gowa,565,324,1792,2681
10,Kabupaten Jeneponto,530,38,652,1220
11,Kabupaten Kepulauan Selayar,84,7,197,288
12,Kabupaten Luwu,239,3,143,385
13,Kabupaten Luwu Timur,446,87,1706,2239
14,Kabupaten Luwu Utara,278,40,453,771
15,Kabupaten Maros,278,78,780,1136
16,Kabupaten Pangkajene Dan Kepulauan,173,68,275,516
17,Kabupaten Pinrang,570,32,226,828
18,Kabupaten Sidenreng Rappang,119,54,257,430
19,Kabupaten Sinjai,278,23,513,814
20,Kabupaten Soppeng,82,40,311,433
21,Kabupaten Takalar,126,33,378,537
22,Kabupaten Tana Toraja,249,13,119,381
23,Kabupaten Toraja Utara,178,6,63,247
24,Kabupaten Wajo,74,25,293,392
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,443,443
-,Jumlah Sulsel,9001,2547,22887,34435
