No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,470,179,176,825
2,Kota Palopo,117,2,0,119
3,Kota Parepare,63,7,1,71
4,Kabupaten Bantaeng,108,2,0,110
5,Kabupaten Barru,57,2,0,59
6,Kabupaten Bone,281,8,0,289
7,Kabupaten Bulukumba,174,21,1,196
8,Kabupaten Enrekang,160,9,2,171
9,Kabupaten Gowa,195,105,22,322
10,Kabupaten Jeneponto,152,10,0,162
11,Kabupaten Kepulauan Selayar,64,2,0,66
12,Kabupaten Luwu,35,2,1,38
13,Kabupaten Luwu Timur,266,16,1,283
14,Kabupaten Luwu Utara,120,10,0,130
15,Kabupaten Maros,126,11,19,156
16,Kabupaten Pangkajene Dan Kepulauan,70,8,2,80
17,Kabupaten Pinrang,31,7,3,41
18,Kabupaten Sidenreng Rappang,72,29,15,116
19,Kabupaten Sinjai,162,13,0,175
20,Kabupaten Soppeng,48,6,2,56
21,Kabupaten Takalar,28,5,2,35
22,Kabupaten Tana Toraja,124,3,1,128
23,Kabupaten Toraja Utara,77,0,0,77
24,Kabupaten Wajo,53,4,0,57
-,Jumlah Sulsel,3053,461,248,3762
