No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,468,180,171,819
2,Kota Palopo,110,2,0,112
3,Kota Parepare,57,5,1,63
4,Kabupaten Bantaeng,108,2,0,110
5,Kabupaten Barru,57,2,0,59
6,Kabupaten Bone,281,6,0,287
7,Kabupaten Bulukumba,165,21,1,187
8,Kabupaten Enrekang,159,5,2,166
9,Kabupaten Gowa,170,92,22,284
10,Kabupaten Jeneponto,19,9,0,28
11,Kabupaten Kepulauan Selayar,57,2,0,59
12,Kabupaten Luwu,34,2,1,37
13,Kabupaten Luwu Timur,266,12,1,279
14,Kabupaten Luwu Utara,120,9,0,129
15,Kabupaten Maros,126,11,19,156
16,Kabupaten Pangkajene Dan Kepulauan,63,4,2,69
17,Kabupaten Pinrang,21,7,3,31
18,Kabupaten Sidenreng Rappang,71,29,14,114
19,Kabupaten Sinjai,152,11,0,163
20,Kabupaten Soppeng,41,5,1,47
21,Kabupaten Takalar,27,5,2,34
22,Kabupaten Tana Toraja,100,2,0,102
23,Kabupaten Toraja Utara,77,0,0,77
24,Kabupaten Wajo,53,4,0,57
-,Jumlah Sulsel,2802,427,240,3469
