No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,557,373,343,1273
2,Kota Palopo,124,3,0,127
3,Kota Parepare,75,14,3,92
4,Kabupaten Bantaeng,147,3,0,150
5,Kabupaten Barru,64,4,0,68
6,Kabupaten Bone,289,10,1,300
7,Kabupaten Bulukumba,200,26,3,229
8,Kabupaten Enrekang,159,11,3,173
9,Kabupaten Gowa,288,167,29,484
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,72,4,0,76
12,Kabupaten Luwu,58,3,2,63
13,Kabupaten Luwu Timur,353,20,2,375
14,Kabupaten Luwu Utara,151,14,1,166
15,Kabupaten Maros,149,19,27,195
16,Kabupaten Pangkajene Dan Kepulauan,86,11,3,100
17,Kabupaten Pinrang,94,13,5,112
18,Kabupaten Sidenreng Rappang,79,30,21,130
19,Kabupaten Sinjai,189,12,0,201
20,Kabupaten Soppeng,62,13,2,77
21,Kabupaten Takalar,42,7,3,52
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,81,0,0,81
24,Kabupaten Wajo,57,4,1,62
-,Jumlah Sulsel,3781,781,453,5015
