No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,596,438,418,1452
2,Kota Palopo,127,5,1,133
3,Kota Parepare,76,16,11,103
4,Kabupaten Bantaeng,145,3,0,148
5,Kabupaten Barru,64,4,0,68
6,Kabupaten Bone,290,9,5,304
7,Kabupaten Bulukumba,217,30,6,253
8,Kabupaten Enrekang,161,13,4,178
9,Kabupaten Gowa,300,178,35,513
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,71,4,2,77
12,Kabupaten Luwu,58,3,2,63
13,Kabupaten Luwu Timur,399,25,11,435
14,Kabupaten Luwu Utara,170,18,20,208
15,Kabupaten Maros,162,22,33,217
16,Kabupaten Pangkajene Dan Kepulauan,102,14,6,122
17,Kabupaten Pinrang,115,15,5,135
18,Kabupaten Sidenreng Rappang,88,31,21,140
19,Kabupaten Sinjai,200,13,6,219
20,Kabupaten Soppeng,67,17,5,89
21,Kabupaten Takalar,42,9,5,56
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,160,0,0,160
24,Kabupaten Wajo,58,6,1,65
-,Jumlah Sulsel,4073,893,601,5567
