No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,9481,14024
2,Kota Palopo,179,14,348,541
3,Kota Parepare,168,109,331,608
4,Kabupaten Bantaeng,171,3,238,412
5,Kabupaten Barru,72,10,103,185
6,Kabupaten Bone,322,22,247,591
7,Kabupaten Bulukumba,389,54,332,775
8,Kabupaten Enrekang,321,23,167,511
9,Kabupaten Gowa,565,324,1519,2408
10,Kabupaten Jeneponto,530,38,543,1111
11,Kabupaten Kepulauan Selayar,84,7,169,260
12,Kabupaten Luwu,239,3,126,368
13,Kabupaten Luwu Timur,446,87,1571,2104
14,Kabupaten Luwu Utara,278,40,362,680
15,Kabupaten Maros,278,78,614,970
16,Kabupaten Pangkajene Dan Kepulauan,173,68,215,456
17,Kabupaten Pinrang,570,32,194,796
18,Kabupaten Sidenreng Rappang,119,54,176,349
19,Kabupaten Sinjai,278,23,439,740
20,Kabupaten Soppeng,82,40,223,345
21,Kabupaten Takalar,126,33,317,476
22,Kabupaten Tana Toraja,249,13,115,377
23,Kabupaten Toraja Utara,178,6,39,223
24,Kabupaten Wajo,74,25,170,269
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,446,446
-,Jumlah Sulsel,9001,2547,19060,30608
