No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,580,410,393,1383
2,Kota Palopo,126,4,1,131
3,Kota Parepare,75,16,9,100
4,Kabupaten Bantaeng,145,3,0,148
5,Kabupaten Barru,64,4,0,68
6,Kabupaten Bone,290,9,5,304
7,Kabupaten Bulukumba,214,29,5,248
8,Kabupaten Enrekang,160,12,3,175
9,Kabupaten Gowa,297,176,33,506
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,71,4,2,77
12,Kabupaten Luwu,58,3,2,63
13,Kabupaten Luwu Timur,399,22,11,432
14,Kabupaten Luwu Utara,168,17,3,188
15,Kabupaten Maros,158,20,30,208
16,Kabupaten Pangkajene Dan Kepulauan,101,12,4,117
17,Kabupaten Pinrang,102,15,5,122
18,Kabupaten Sidenreng Rappang,87,31,21,139
19,Kabupaten Sinjai,200,13,6,219
20,Kabupaten Soppeng,68,16,4,88
21,Kabupaten Takalar,41,9,5,55
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,160,0,0,160
24,Kabupaten Wajo,58,4,1,63
-,Jumlah Sulsel,4027,849,547,5423
