No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,583,416,401,1400
2,Kota Palopo,127,5,1,133
3,Kota Parepare,75,16,11,102
4,Kabupaten Bantaeng,145,3,0,148
5,Kabupaten Barru,64,4,0,68
6,Kabupaten Bone,290,9,5,304
7,Kabupaten Bulukumba,216,29,6,251
8,Kabupaten Enrekang,160,12,3,175
9,Kabupaten Gowa,297,177,33,507
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,71,4,2,77
12,Kabupaten Luwu,58,3,2,63
13,Kabupaten Luwu Timur,399,22,11,432
14,Kabupaten Luwu Utara,168,17,20,205
15,Kabupaten Maros,159,20,31,210
16,Kabupaten Pangkajene Dan Kepulauan,102,14,4,120
17,Kabupaten Pinrang,104,15,5,124
18,Kabupaten Sidenreng Rappang,87,31,21,139
19,Kabupaten Sinjai,200,13,6,219
20,Kabupaten Soppeng,67,16,5,88
21,Kabupaten Takalar,41,9,5,55
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,160,0,0,160
24,Kabupaten Wajo,58,4,1,63
-,Jumlah Sulsel,4036,859,577,5472
