No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,11497,16040
2,Kota Palopo,179,14,409,602
3,Kota Parepare,168,109,462,739
4,Kabupaten Bantaeng,171,3,403,577
5,Kabupaten Barru,72,10,120,202
6,Kabupaten Bone,322,22,626,970
7,Kabupaten Bulukumba,389,54,399,842
8,Kabupaten Enrekang,321,23,189,533
9,Kabupaten Gowa,565,324,1866,2755
10,Kabupaten Jeneponto,530,38,690,1258
11,Kabupaten Kepulauan Selayar,84,7,204,295
12,Kabupaten Luwu,239,3,146,388
13,Kabupaten Luwu Timur,446,87,1718,2251
14,Kabupaten Luwu Utara,278,40,458,776
15,Kabupaten Maros,278,78,809,1165
16,Kabupaten Pangkajene Dan Kepulauan,173,68,288,529
17,Kabupaten Pinrang,570,32,232,834
18,Kabupaten Sidenreng Rappang,119,54,307,480
19,Kabupaten Sinjai,278,23,518,819
20,Kabupaten Soppeng,82,40,337,459
21,Kabupaten Takalar,126,33,388,547
22,Kabupaten Tana Toraja,249,13,121,383
23,Kabupaten Toraja Utara,178,6,68,252
24,Kabupaten Wajo,74,25,300,399
25,Rekreasi Duta Covid19 SulSel,8,0,574,582
26,RS Lain-lain,0,0,443,443
-,Jumlah Sulsel,9001,2547,23572,35120
