No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,121,52,41,214
2,Kota Palopo,53,0,0,53
3,Kota Parepare,5,1,0,6
4,Kabupaten Bantaeng,64,3,0,67
5,Kabupaten Barru,54,1,0,55
6,Kabupaten Bone,237,2,0,239
7,Kabupaten Bulukumba,100,6,1,107
8,Kabupaten Enrekang,39,0,0,39
9,Kabupaten Gowa,49,13,10,72
10,Kabupaten Jeneponto,19,4,0,23
11,Kabupaten Kepulauan Selayar,28,1,0,29
12,Kabupaten Luwu,34,1,0,35
13,Kabupaten Luwu Timur,166,6,1,173
14,Kabupaten Luwu Utara,33,7,0,40
15,Kabupaten Maros,12,4,6,22
16,Kabupaten Pangkajene Dan Kepulauan,22,1,1,24
17,Kabupaten Pinrang,11,0,1,12
18,Kabupaten Sidenreng Rappang,29,5,3,37
19,Kabupaten Sinjai,30,1,0,31
20,Kabupaten Soppeng,7,0,0,7
21,Kabupaten Takalar,8,1,1,10
22,Kabupaten Tana Toraja,1,0,0,1
23,Kabupaten Toraja Utara,12,0,0,12
24,Kabupaten Wajo,38,1,0,39
-,Jumlah Sulsel,1172,110,65,1347
