No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,7594,12072
2,Kota Palopo,179,14,111,304
3,Kota Parepare,168,109,213,490
4,Kabupaten Bantaeng,171,3,113,287
5,Kabupaten Barru,72,10,48,130
6,Kabupaten Bone,322,22,117,461
7,Kabupaten Bulukumba,389,54,236,679
8,Kabupaten Enrekang,321,23,79,423
9,Kabupaten Gowa,565,324,1204,2093
10,Kabupaten Jeneponto,530,38,253,821
11,Kabupaten Kepulauan Selayar,84,7,123,214
12,Kabupaten Luwu,239,3,43,285
13,Kabupaten Luwu Timur,446,87,1154,1687
14,Kabupaten Luwu Utara,278,40,128,446
15,Kabupaten Maros,278,78,433,789
16,Kabupaten Pangkajene Dan Kepulauan,173,68,135,376
17,Kabupaten Pinrang,570,32,70,672
18,Kabupaten Sidenreng Rappang,119,54,138,311
19,Kabupaten Sinjai,278,23,310,611
20,Kabupaten Soppeng,82,40,185,307
21,Kabupaten Takalar,126,33,256,415
22,Kabupaten Tana Toraja,249,13,86,348
23,Kabupaten Toraja Utara,178,6,20,204
24,Kabupaten Wajo,74,25,127,226
25,Rekreasi Duta Covid19 SulSel,8,0,884,892
26,RS Lain-lain,0,0,464,464
-,Jumlah Sulsel,8936,2547,14524,26007
