No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,12296,16839
2,Kota Palopo,179,14,480,673
3,Kota Parepare,168,109,478,755
4,Kabupaten Bantaeng,171,3,472,646
5,Kabupaten Barru,72,10,135,217
6,Kabupaten Bone,322,22,657,1001
7,Kabupaten Bulukumba,389,54,411,854
8,Kabupaten Enrekang,321,23,190,534
9,Kabupaten Gowa,565,324,2026,2915
10,Kabupaten Jeneponto,530,38,763,1331
11,Kabupaten Kepulauan Selayar,84,7,229,320
12,Kabupaten Luwu,239,3,156,398
13,Kabupaten Luwu Timur,446,87,1768,2301
14,Kabupaten Luwu Utara,278,40,481,799
15,Kabupaten Maros,278,78,867,1223
16,Kabupaten Pangkajene Dan Kepulauan,173,68,313,554
17,Kabupaten Pinrang,570,32,242,844
18,Kabupaten Sidenreng Rappang,119,54,361,534
19,Kabupaten Sinjai,278,23,608,909
20,Kabupaten Soppeng,82,40,353,475
21,Kabupaten Takalar,126,33,435,594
22,Kabupaten Tana Toraja,249,13,122,384
23,Kabupaten Toraja Utara,178,6,73,257
24,Kabupaten Wajo,74,25,342,441
25,Rekreasi Duta Covid19 SulSel,8,0,574,582
26,RS Lain-lain,0,0,442,442
-,Jumlah Sulsel,9001,2547,25274,36822
