No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2708,1442,4430,8580
2,Kota Palopo,179,14,35,228
3,Kota Parepare,149,109,80,338
4,Kabupaten Bantaeng,169,3,91,263
5,Kabupaten Barru,72,10,9,91
6,Kabupaten Bone,322,22,24,368
7,Kabupaten Bulukumba,372,54,193,619
8,Kabupaten Enrekang,292,23,35,350
9,Kabupaten Gowa,564,324,726,1614
10,Kabupaten Jeneponto,529,38,126,693
11,Kabupaten Kepulauan Selayar,84,7,21,112
12,Kabupaten Luwu,239,3,11,253
13,Kabupaten Luwu Timur,446,87,727,1260
14,Kabupaten Luwu Utara,278,40,14,332
15,Kabupaten Maros,273,79,258,610
16,Kabupaten Pangkajene Dan Kepulauan,140,68,59,267
17,Kabupaten Pinrang,569,33,29,631
18,Kabupaten Sidenreng Rappang,89,54,46,189
19,Kabupaten Sinjai,268,23,94,385
20,Kabupaten Soppeng,82,40,81,203
21,Kabupaten Takalar,74,34,115,223
22,Kabupaten Tana Toraja,248,13,41,302
23,Kabupaten Toraja Utara,178,6,8,192
24,Kabupaten Wajo,71,25,14,110
25,Rekreasi Duta Covid19 SulSel,8,0,863,871
26,RS Lain-lain,0,0,272,272
-,Jumlah Sulsel,8403,2551,8402,19356
