No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2955,1441,6027,10423
2,Kota Palopo,179,14,63,256
3,Kota Parepare,161,109,109,379
4,Kabupaten Bantaeng,171,3,93,267
5,Kabupaten Barru,72,10,13,95
6,Kabupaten Bone,322,22,39,383
7,Kabupaten Bulukumba,387,54,214,655
8,Kabupaten Enrekang,299,23,46,368
9,Kabupaten Gowa,565,324,1025,1914
10,Kabupaten Jeneponto,529,38,141,708
11,Kabupaten Kepulauan Selayar,84,7,35,126
12,Kabupaten Luwu,239,3,36,278
13,Kabupaten Luwu Timur,446,87,868,1401
14,Kabupaten Luwu Utara,278,40,55,373
15,Kabupaten Maros,278,78,329,685
16,Kabupaten Pangkajene Dan Kepulauan,173,68,91,332
17,Kabupaten Pinrang,569,32,32,633
18,Kabupaten Sidenreng Rappang,113,54,97,264
19,Kabupaten Sinjai,278,23,229,530
20,Kabupaten Soppeng,82,40,133,255
21,Kabupaten Takalar,126,33,146,305
22,Kabupaten Tana Toraja,249,13,59,321
23,Kabupaten Toraja Utara,178,6,11,195
24,Kabupaten Wajo,74,25,23,122
25,Rekreasi Duta Covid19 SulSel,8,0,885,893
26,RS Lain-lain,0,0,351,351
-,Jumlah Sulsel,8815,2547,11150,22512
