No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,640,501,454,1595
2,Kota Palopo,130,5,1,136
3,Kota Parepare,77,17,16,110
4,Kabupaten Bantaeng,146,3,1,150
5,Kabupaten Barru,64,4,1,69
6,Kabupaten Bone,290,9,5,304
7,Kabupaten Bulukumba,222,31,6,259
8,Kabupaten Enrekang,163,13,4,180
9,Kabupaten Gowa,302,181,42,525
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,72,5,2,79
12,Kabupaten Luwu,59,4,2,65
13,Kabupaten Luwu Timur,398,31,12,441
14,Kabupaten Luwu Utara,175,22,25,222
15,Kabupaten Maros,176,23,36,235
16,Kabupaten Pangkajene Dan Kepulauan,107,14,10,131
17,Kabupaten Pinrang,113,15,5,133
18,Kabupaten Sidenreng Rappang,88,31,22,141
19,Kabupaten Sinjai,205,13,6,224
20,Kabupaten Soppeng,67,17,5,89
21,Kabupaten Takalar,45,12,5,62
22,Kabupaten Tana Toraja,146,4,3,153
23,Kabupaten Toraja Utara,159,0,0,159
24,Kabupaten Wajo,59,6,1,66
-,Jumlah Sulsel,4162,977,665,5804
