No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1427,1019,846,3292
2,Kota Palopo,146,9,2,157
3,Kota Parepare,96,47,36,179
4,Kabupaten Bantaeng,156,4,0,160
5,Kabupaten Barru,67,8,0,75
6,Kabupaten Bone,319,22,1,342
7,Kabupaten Bulukumba,267,38,2,307
8,Kabupaten Enrekang,176,14,0,190
9,Kabupaten Gowa,391,261,99,751
10,Kabupaten Jeneponto,263,24,0,287
11,Kabupaten Kepulauan Selayar,75,5,0,80
12,Kabupaten Luwu,66,3,2,71
13,Kabupaten Luwu Timur,454,57,157,668
14,Kabupaten Luwu Utara,201,35,2,238
15,Kabupaten Maros,187,44,23,254
16,Kabupaten Pangkajene Dan Kepulauan,116,21,1,138
17,Kabupaten Pinrang,208,22,4,234
18,Kabupaten Sidenreng Rappang,83,34,19,136
19,Kabupaten Sinjai,210,15,7,232
20,Kabupaten Soppeng,91,19,9,119
21,Kabupaten Takalar,61,30,4,95
22,Kabupaten Tana Toraja,148,5,6,159
23,Kabupaten Toraja Utara,160,3,1,164
24,Kabupaten Wajo,63,13,1,77
25,Rekreasi Duta Covid19 SulSel,8,0,300,308
26,RS Lain-lain,0,0,64,64
-,Jumlah Sulsel,5439,1752,1586,8777
