No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,10961,15504
2,Kota Palopo,179,14,404,597
3,Kota Parepare,168,109,422,699
4,Kabupaten Bantaeng,171,3,343,517
5,Kabupaten Barru,72,10,120,202
6,Kabupaten Bone,322,22,551,895
7,Kabupaten Bulukumba,389,54,392,835
8,Kabupaten Enrekang,321,23,189,533
9,Kabupaten Gowa,565,324,1759,2648
10,Kabupaten Jeneponto,530,38,642,1210
11,Kabupaten Kepulauan Selayar,84,7,191,282
12,Kabupaten Luwu,239,3,143,385
13,Kabupaten Luwu Timur,446,87,1695,2228
14,Kabupaten Luwu Utara,278,40,453,771
15,Kabupaten Maros,278,78,766,1122
16,Kabupaten Pangkajene Dan Kepulauan,173,68,273,514
17,Kabupaten Pinrang,570,32,222,824
18,Kabupaten Sidenreng Rappang,119,54,239,412
19,Kabupaten Sinjai,278,23,510,811
20,Kabupaten Soppeng,82,40,291,413
21,Kabupaten Takalar,126,33,367,526
22,Kabupaten Tana Toraja,249,13,118,380
23,Kabupaten Toraja Utara,178,6,63,247
24,Kabupaten Wajo,74,25,270,369
25,Rekreasi Duta Covid19 SulSel,8,0,575,583
26,RS Lain-lain,0,0,443,443
-,Jumlah Sulsel,9001,2547,22402,33950
