No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1013,861,656,2530
2,Kota Palopo,143,10,3,156
3,Kota Parepare,89,47,28,164
4,Kabupaten Bantaeng,146,3,1,150
5,Kabupaten Barru,67,7,1,75
6,Kabupaten Bone,298,19,7,324
7,Kabupaten Bulukumba,252,37,11,300
8,Kabupaten Enrekang,170,13,5,188
9,Kabupaten Gowa,359,249,94,702
10,Kabupaten Jeneponto,260,18,5,283
11,Kabupaten Kepulauan Selayar,74,5,0,79
12,Kabupaten Luwu,64,3,6,73
13,Kabupaten Luwu Timur,428,54,42,524
14,Kabupaten Luwu Utara,180,31,28,239
15,Kabupaten Maros,184,36,52,272
16,Kabupaten Pangkajene Dan Kepulauan,112,19,15,146
17,Kabupaten Pinrang,177,21,6,204
18,Kabupaten Sidenreng Rappang,82,31,29,142
19,Kabupaten Sinjai,208,13,15,236
20,Kabupaten Soppeng,91,19,9,119
21,Kabupaten Takalar,51,22,8,81
22,Kabupaten Tana Toraja,147,4,3,154
23,Kabupaten Toraja Utara,160,2,0,162
24,Kabupaten Wajo,62,9,1,72
-,Jumlah Sulsel,4826,1533,1135,7494
