No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2120,1266,2740,6126
2,Kota Palopo,171,14,6,191
3,Kota Parepare,122,85,61,268
4,Kabupaten Bantaeng,169,3,0,172
5,Kabupaten Barru,71,10,4,85
6,Kabupaten Bone,321,22,7,350
7,Kabupaten Bulukumba,351,51,126,528
8,Kabupaten Enrekang,269,22,24,315
9,Kabupaten Gowa,545,295,405,1245
10,Kabupaten Jeneponto,510,37,20,567
11,Kabupaten Kepulauan Selayar,83,6,3,92
12,Kabupaten Luwu,239,3,7,249
13,Kabupaten Luwu Timur,446,87,483,1016
14,Kabupaten Luwu Utara,259,40,6,305
15,Kabupaten Maros,271,72,118,461
16,Kabupaten Pangkajene Dan Kepulauan,130,49,22,201
17,Kabupaten Pinrang,542,29,18,589
18,Kabupaten Sidenreng Rappang,91,49,36,176
19,Kabupaten Sinjai,259,20,38,317
20,Kabupaten Soppeng,82,41,35,158
21,Kabupaten Takalar,64,34,51,149
22,Kabupaten Tana Toraja,225,10,8,243
23,Kabupaten Toraja Utara,177,6,3,186
24,Kabupaten Wajo,71,21,9,101
25,Rekreasi Duta Covid19 SulSel,8,0,656,664
26,RS Lain-lain,0,0,205,205
-,Jumlah Sulsel,7596,2272,5091,14959
