No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,7541,12019
2,Kota Palopo,179,14,110,303
3,Kota Parepare,168,109,193,470
4,Kabupaten Bantaeng,171,3,104,278
5,Kabupaten Barru,72,10,46,128
6,Kabupaten Bone,322,22,117,461
7,Kabupaten Bulukumba,389,54,232,675
8,Kabupaten Enrekang,321,23,78,422
9,Kabupaten Gowa,565,324,1205,2094
10,Kabupaten Jeneponto,530,38,236,804
11,Kabupaten Kepulauan Selayar,84,7,123,214
12,Kabupaten Luwu,239,3,43,285
13,Kabupaten Luwu Timur,446,87,1130,1663
14,Kabupaten Luwu Utara,278,40,127,445
15,Kabupaten Maros,278,78,432,788
16,Kabupaten Pangkajene Dan Kepulauan,173,68,125,366
17,Kabupaten Pinrang,570,32,66,668
18,Kabupaten Sidenreng Rappang,119,54,136,309
19,Kabupaten Sinjai,278,23,309,610
20,Kabupaten Soppeng,82,40,184,306
21,Kabupaten Takalar,126,33,254,413
22,Kabupaten Tana Toraja,249,13,86,348
23,Kabupaten Toraja Utara,178,6,20,204
24,Kabupaten Wajo,74,25,119,218
25,Rekreasi Duta Covid19 SulSel,8,0,884,892
26,RS Lain-lain,0,0,457,457
-,Jumlah Sulsel,8936,2547,14357,25840
