No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,444,166,118,728
2,Kota Palopo,112,2,0,114
3,Kota Parepare,52,2,0,54
4,Kabupaten Bantaeng,103,2,0,105
5,Kabupaten Barru,56,2,0,58
6,Kabupaten Bone,281,6,0,287
7,Kabupaten Bulukumba,149,19,1,169
8,Kabupaten Enrekang,159,5,2,166
9,Kabupaten Gowa,150,77,18,245
10,Kabupaten Jeneponto,19,4,0,23
11,Kabupaten Kepulauan Selayar,50,1,0,51
12,Kabupaten Luwu,34,2,1,37
13,Kabupaten Luwu Timur,257,13,1,271
14,Kabupaten Luwu Utara,102,9,0,111
15,Kabupaten Maros,123,12,18,153
16,Kabupaten Pangkajene Dan Kepulauan,49,4,1,54
17,Kabupaten Pinrang,20,4,3,27
18,Kabupaten Sidenreng Rappang,66,29,13,108
19,Kabupaten Sinjai,148,8,0,156
20,Kabupaten Soppeng,41,5,0,46
21,Kabupaten Takalar,22,5,2,29
22,Kabupaten Tana Toraja,99,2,0,101
23,Kabupaten Toraja Utara,77,0,0,77
24,Kabupaten Wajo,53,4,0,57
-,Jumlah Sulsel,2666,383,178,3227
