No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,463,176,155,794
2,Kota Palopo,110,2,0,112
3,Kota Parepare,53,2,1,56
4,Kabupaten Bantaeng,108,2,0,110
5,Kabupaten Barru,56,2,0,58
6,Kabupaten Bone,281,6,0,287
7,Kabupaten Bulukumba,155,21,1,177
8,Kabupaten Enrekang,159,5,2,166
9,Kabupaten Gowa,168,79,22,269
10,Kabupaten Jeneponto,19,6,0,25
11,Kabupaten Kepulauan Selayar,58,1,0,59
12,Kabupaten Luwu,34,2,1,37
13,Kabupaten Luwu Timur,257,13,1,271
14,Kabupaten Luwu Utara,102,9,0,111
15,Kabupaten Maros,124,11,18,153
16,Kabupaten Pangkajene Dan Kepulauan,63,4,2,69
17,Kabupaten Pinrang,20,7,3,30
18,Kabupaten Sidenreng Rappang,71,29,14,114
19,Kabupaten Sinjai,152,11,0,163
20,Kabupaten Soppeng,41,5,1,47
21,Kabupaten Takalar,26,5,2,33
22,Kabupaten Tana Toraja,99,2,0,101
23,Kabupaten Toraja Utara,77,0,0,77
24,Kabupaten Wajo,53,4,0,57
-,Jumlah Sulsel,2749,404,223,3376
