No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3102,1441,9218,13761
2,Kota Palopo,179,14,330,523
3,Kota Parepare,168,109,321,598
4,Kabupaten Bantaeng,171,3,225,399
5,Kabupaten Barru,72,10,102,184
6,Kabupaten Bone,322,22,199,543
7,Kabupaten Bulukumba,389,54,323,766
8,Kabupaten Enrekang,321,23,159,503
9,Kabupaten Gowa,565,324,1456,2345
10,Kabupaten Jeneponto,530,38,510,1078
11,Kabupaten Kepulauan Selayar,84,7,166,257
12,Kabupaten Luwu,239,3,118,360
13,Kabupaten Luwu Timur,446,87,1536,2069
14,Kabupaten Luwu Utara,278,40,332,650
15,Kabupaten Maros,278,78,591,947
16,Kabupaten Pangkajene Dan Kepulauan,173,68,207,448
17,Kabupaten Pinrang,570,32,180,782
18,Kabupaten Sidenreng Rappang,119,54,169,342
19,Kabupaten Sinjai,278,23,412,713
20,Kabupaten Soppeng,82,40,208,330
21,Kabupaten Takalar,126,33,316,475
22,Kabupaten Tana Toraja,249,13,115,377
23,Kabupaten Toraja Utara,178,6,36,220
24,Kabupaten Wajo,74,25,147,246
25,Rekreasi Duta Covid19 SulSel,8,0,576,584
26,RS Lain-lain,0,0,447,447
-,Jumlah Sulsel,9001,2547,18399,29947
