No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,2405,1361,3715,7481
2,Kota Palopo,177,14,15,206
3,Kota Parepare,130,101,71,302
4,Kabupaten Bantaeng,169,3,14,186
5,Kabupaten Barru,72,10,5,87
6,Kabupaten Bone,321,22,9,352
7,Kabupaten Bulukumba,363,54,155,572
8,Kabupaten Enrekang,281,23,32,336
9,Kabupaten Gowa,560,318,562,1440
10,Kabupaten Jeneponto,529,39,43,611
11,Kabupaten Kepulauan Selayar,84,7,10,101
12,Kabupaten Luwu,239,3,11,253
13,Kabupaten Luwu Timur,446,87,614,1147
14,Kabupaten Luwu Utara,278,40,13,331
15,Kabupaten Maros,273,77,156,506
16,Kabupaten Pangkajene Dan Kepulauan,133,57,29,219
17,Kabupaten Pinrang,544,33,26,603
18,Kabupaten Sidenreng Rappang,87,52,36,175
19,Kabupaten Sinjai,259,20,64,343
20,Kabupaten Soppeng,82,40,58,180
21,Kabupaten Takalar,75,34,86,195
22,Kabupaten Tana Toraja,230,11,33,274
23,Kabupaten Toraja Utara,177,6,5,188
24,Kabupaten Wajo,71,23,10,104
25,Rekreasi Duta Covid19 SulSel,8,0,779,787
26,RS Lain-lain,0,0,237,237
-,Jumlah Sulsel,7993,2435,6788,17216
