No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1684,1161,1293,4138
2,Kota Palopo,164,10,2,176
3,Kota Parepare,117,73,37,227
4,Kabupaten Bantaeng,165,3,0,168
5,Kabupaten Barru,68,8,0,76
6,Kabupaten Bone,320,23,2,345
7,Kabupaten Bulukumba,291,41,3,335
8,Kabupaten Enrekang,242,20,1,263
9,Kabupaten Gowa,403,282,157,842
10,Kabupaten Jeneponto,277,33,2,312
11,Kabupaten Kepulauan Selayar,78,5,0,83
12,Kabupaten Luwu,69,3,6,78
13,Kabupaten Luwu Timur,463,88,376,927
14,Kabupaten Luwu Utara,231,39,0,270
15,Kabupaten Maros,256,59,53,368
16,Kabupaten Pangkajene Dan Kepulauan,120,23,5,148
17,Kabupaten Pinrang,305,22,5,332
18,Kabupaten Sidenreng Rappang,83,42,21,146
19,Kabupaten Sinjai,208,15,10,233
20,Kabupaten Soppeng,77,31,9,117
21,Kabupaten Takalar,55,37,13,105
22,Kabupaten Tana Toraja,169,10,6,185
23,Kabupaten Toraja Utara,160,3,1,164
24,Kabupaten Wajo,65,19,5,89
25,Rekreasi Duta Covid19 SulSel,8,0,467,475
26,RS Lain-lain,0,0,104,104
-,Jumlah Sulsel,6078,2050,2578,10706
