No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,6707,11185
2,Kota Palopo,179,14,84,277
3,Kota Parepare,168,109,132,409
4,Kabupaten Bantaeng,171,3,96,270
5,Kabupaten Barru,72,10,21,103
6,Kabupaten Bone,322,22,49,393
7,Kabupaten Bulukumba,389,54,215,658
8,Kabupaten Enrekang,321,23,70,414
9,Kabupaten Gowa,565,324,1100,1989
10,Kabupaten Jeneponto,530,38,155,723
11,Kabupaten Kepulauan Selayar,84,7,40,131
12,Kabupaten Luwu,239,3,41,283
13,Kabupaten Luwu Timur,446,87,926,1459
14,Kabupaten Luwu Utara,278,40,82,400
15,Kabupaten Maros,278,78,374,730
16,Kabupaten Pangkajene Dan Kepulauan,173,68,104,345
17,Kabupaten Pinrang,570,32,40,642
18,Kabupaten Sidenreng Rappang,119,54,118,291
19,Kabupaten Sinjai,278,23,276,577
20,Kabupaten Soppeng,82,40,177,299
21,Kabupaten Takalar,126,33,236,395
22,Kabupaten Tana Toraja,249,13,69,331
23,Kabupaten Toraja Utara,178,6,12,196
24,Kabupaten Wajo,74,25,72,171
25,Rekreasi Duta Covid19 SulSel,8,0,885,893
26,RS Lain-lain,0,0,388,388
-,Jumlah Sulsel,8936,2547,12469,23952
